"filename", "language", "JavaScript", "Markdown", "SCSS", "TypeScript", "JSON", "XML", "CSS", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"e:\mine\项目\huiyi\huiyi\.eslintrc.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\mine\项目\huiyi\huiyi\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"e:\mine\项目\huiyi\huiyi\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"e:\mine\项目\huiyi\huiyi\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\mine\项目\huiyi\huiyi\androidPrivacy.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\mine\项目\huiyi\huiyi\components\kml-agent-nvue\assets\1.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\mine\项目\huiyi\huiyi\components\kml-agent-nvue\assets\agent.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 2, 6, 81
"e:\mine\项目\huiyi\huiyi\components\kml-agent-nvue\assets\index.scss", "SCSS", 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 28, 22, 384
"e:\mine\项目\huiyi\huiyi\components\kml-agent\kml-agent.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 1187, 0, 0, 16, 45, 1248
"e:\mine\项目\huiyi\huiyi\components\meetingNote\meetingNote.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 22, 165
"e:\mine\项目\huiyi\huiyi\env.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 2, 9
"e:\mine\项目\huiyi\huiyi\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 1, 21
"e:\mine\项目\huiyi\huiyi\js_sdk\fx-openMap\openMap.js", "JavaScript", 562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 14, 619
"e:\mine\项目\huiyi\huiyi\js_sdk\fx-openMap\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"e:\mine\项目\huiyi\huiyi\main.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 3, 52
"e:\mine\项目\huiyi\huiyi\manifest.json", "JSON", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 8, 1, 173
"e:\mine\项目\huiyi\huiyi\package-lock.json", "JSON", 0, 0, 0, 0, 10087, 0, 0, 0, 0, 0, 0, 1, 10088
"e:\mine\项目\huiyi\huiyi\package.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 56
"e:\mine\项目\huiyi\huiyi\pages.json", "JSON", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 2, 0, 272
"e:\mine\项目\huiyi\huiyi\pages\components\customSubtitle\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 3, 22, 330
"e:\mine\项目\huiyi\huiyi\pages\components\hostedMeeting\hostedMeeting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 1, 16, 154
"e:\mine\项目\huiyi\huiyi\pages\components\tabbar\index.scss", "SCSS", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 8, 60
"e:\mine\项目\huiyi\huiyi\pages\components\tabbar\tabbar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 10, 157
"e:\mine\项目\huiyi\huiyi\pages\home\home.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\pages\index\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\mine\项目\huiyi\huiyi\pages\login\login.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 480, 0, 0, 5, 60, 545
"e:\mine\项目\huiyi\huiyi\pages\meetting\ReserveMeeting\ReserveMeeting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 11, 38, 334
"e:\mine\项目\huiyi\huiyi\pages\meetting\createMeeting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 667, 0, 0, 3, 79, 749
"e:\mine\项目\huiyi\huiyi\pages\meetting\meetting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"e:\mine\项目\huiyi\huiyi\pages\mine\aboutUs.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 1, 26, 254
"e:\mine\项目\huiyi\huiyi\pages\mine\accountSecurity.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 4, 33, 242
"e:\mine\项目\huiyi\huiyi\pages\mine\aidetail\aicheckout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 899, 0, 0, 17, 112, 1028
"e:\mine\项目\huiyi\huiyi\pages\mine\aidetail\aimanage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 597, 0, 0, 9, 66, 672
"e:\mine\项目\huiyi\huiyi\pages\mine\aihelper.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 6, 52, 366
"e:\mine\项目\huiyi\huiyi\pages\mine\history.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 11, 38, 334
"e:\mine\项目\huiyi\huiyi\pages\mine\map.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 3, 19, 243
"e:\mine\项目\huiyi\huiyi\pages\mine\meeting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"e:\mine\项目\huiyi\huiyi\pages\mine\meetingSetting.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 16, 161
"e:\mine\项目\huiyi\huiyi\pages\mine\message.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 578, 0, 0, 4, 63, 645
"e:\mine\项目\huiyi\huiyi\pages\mine\mine.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 16, 73, 614
"e:\mine\项目\huiyi\huiyi\pages\mine\myInfo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 3, 61, 493
"e:\mine\项目\huiyi\huiyi\pages\mine\note.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 576, 0, 0, 15, 74, 665
"e:\mine\项目\huiyi\huiyi\pages\mine\notedetail\notedetail.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 5, 43, 334
"e:\mine\项目\huiyi\huiyi\pages\mine\record.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 6, 31, 256
"e:\mine\项目\huiyi\huiyi\pages\mine\recorddetail\recorddetail.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 3, 25, 261
